id,question,sql,evidence
edc92ec2-7df2-4386-a31d-0bfb05fc052d,State the names and full communication address of high schools in Monterey which has more than 800 free or reduced price meals for ages 15-17?,"SELECT T1.`School Name`, T2.Street, T2.City, T2.State, T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Monterey' AND T1.`Free Meal Count (Ages 5-17)` > 800 AND T1.`School Type` = 'High Schools (Public)'","Full communication address should include Street, City, State and zip code if any."
a5cec148-0f94-439a-9f1a-390ec10c27ec,Please list the phone numbers of the schools with the top 3 SAT excellence rate.,SELECT T1.Phone FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds ORDER BY CAST(T2.NumGE1500 AS REAL) / T2.NumTstTakr DESC LIMIT 3,Excellence rate = NumGE1500 / NumTstTakr
1f324943-0c1b-4a88-b599-077519bacb1c,How many schools in merged Alameda have number of test takers less than 100?,SELECT COUNT(T1.CDSCode) FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.StatusType = 'Merged' AND T2.NumTstTakr < 100 AND T1.County = 'Lake',
a606959e-3226-498e-a8bd-2a21559a5fd3,Which school in Contra Costa has the highest number of test takers?,SELECT sname FROM satscores WHERE cname = 'Contra Costa' AND sname IS NOT NULL ORDER BY NumTstTakr DESC LIMIT 1,
c1eb3048-91d0-4341-a9e2-8f55b8c1e134,What is the total amount of Community College District closure in 1989 in the city of San Francisco?,"SELECT COUNT(School) FROM schools WHERE strftime('%Y', ClosedDate) = '1989' AND City = 'San Francisco' AND DOCType = 'Community College District'",
7c297f05-c9a1-4e28-93be-00fddfcc2d40,What is the grade span offered in the school with the highest longitude?,SELECT GSoffered FROM schools ORDER BY ABS(longitude) DESC LIMIT 1,the highest longitude refers to the school with the maximum absolute longitude value.
91705e7c-275b-4f13-aab9-0f366c83b8e7,"Consider the average difference between K-12 enrollment and 15-17 enrollment of schools that are locally funded, list the names and DOC type of schools which has a difference above this average.","SELECT T2.School, T2.DOC FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.FundingType = 'Locally funded' AND (T1.`Enrollment (K-12)` - T1.`Enrollment (Ages 5-17)`) > (SELECT AVG(T3.`Enrollment (K-12)` - T3.`Enrollment (Ages 5-17)`) FROM frpm AS T3 INNER JOIN schools AS T4 ON T3.CDSCode = T4.CDSCode WHERE T4.FundingType = 'Locally funded')",Difference between K-12 enrollment and 15-17 enrollment can be computed by `Enrollment (K-12)` - `Enrollment (Ages 5-17)`
545825d4-b609-4887-98a4-2c84612155cb,How many schools in Amador which the Low Grade is 9 and the High Grade is 12?,SELECT COUNT(T1.`School Name`) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Amador' AND T1.`Low Grade` = 9 AND T1.`High Grade` = 12,
6b94386e-c7ff-4220-97e5-0ea486e769e6,Under whose administration is the school with the highest number of students scoring 1500 or more on the SAT? Indicate their full names.,"SELECT T2.AdmFName1, T2.AdmLName1, T2.AdmFName2, T2.AdmLName2, T2.AdmFName3, T2.AdmLName3 FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1","full name means first name, last name; There are at most 3 administrators for each school; SAT Scores are greater or equal to 1500 refers to NumGE1500"
06612092-6a2d-4af6-ab2f-5f18093eb0d9,Please list the codes of the schools with a total enrollment of over 500.,SELECT T2.CDSCode FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.`Enrollment (K-12)` + T2.`Enrollment (Ages 5-17)` > 500,Total enrollment can be represented by `Enrollment (K-12)` + `Enrollment (Ages 5-17)`
91c68139-69de-41cd-8ced-8b80c3ef4ed2,What is the phone number and extension number for the school that had the 333rd highest average writing score?,"SELECT T2.Phone, T2.Ext FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.AvgScrWrite DESC LIMIT 332, 1",
4984c42f-21a0-4b2c-ac1d-ccd8772f444c,What is the total number of non-chartered schools in the county of Los Angeles with a percent (%) of eligible free meals for grades 1 through 12 that is less than 0.18%?,SELECT COUNT(T2.School) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Los Angeles' AND T2.Charter = 0 AND CAST(T1.`Free Meal Count (K-12)` AS REAL) * 100 / T1.`Enrollment (K-12)` < 0.18,non-chartered schools refer to schools whose Charter = 0; K-12 means grades 1 through 12; percent of eligible free rate for K-12 = `Free Meal Count (K-12)` * 100 / `Enrollment (K-12)`
75a90b34-4aaa-4859-b6ae-a1eae9cf8579,"In chartered schools with charter number 00D2, what are the names of all the administrators? Include the name of the school and the city to which it belongs","SELECT AdmFName1, AdmLName1, School, City FROM schools WHERE Charter = 1 AND CharterNum = '00D2'","Chartered schools refer to Charter = 1 in the table schools; Full name refers to first name, last name"
cc77b4b4-ba4b-4f8a-8ee2-74c130d1b170,What is the phone number of the school that has the highest number of test takers with an SAT score of over 1500?,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,
e4b6b6c9-c02f-47c3-b3de-d41592831b97,"List the top five schools, by descending order, from the highest to the lowest, the most number of Enrollment (Ages 5-17). Please give their NCES school identification number.",SELECT T1.NCESSchool FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T2.`Enrollment (Ages 5-17)` DESC LIMIT 5,
cf4bae9a-c414-46b8-9fbd-0cf8db657ec0,What are the websites for all the partially virtual chartered schools located in San Joaquin?,SELECT Website FROM schools WHERE County = 'San Joaquin' AND Virtual = 'P' AND Charter = 1,Virtual = 'P' means partially virtual; Charter schools refers to Charter = 1 in the table schools
